Command,Action
"""Open the homepage of the website""",Navigation
"""Click on the 'Login' button""",Click
"""Search for 'best smartphone reviews'""",Query
"""Go to the 'Products' section""",Navigation
"""Read the article titled 'Latest News'""",Read
"""Submit the contact form""",Submit
"""Set the language to Spanish""",Settings
"""Navigate back to the previous page""",Navigation
"""Open the 'About Us' page""",Navigation
"""Bookmark this page""",Bookmark
"""Enter 'username123' as the username""",Input
"""Click on the third result""",Click
"""Read the contents of the 'FAQ' page""",Read
"""Submit a feedback form""",Submit
"""Increase the font size""",Settings
"""Show the available products""",Query
"""Translate the page to French""",Settings
"""Go to the shopping cart""",Navigation
"""Type 'Hello, world' in the text box""",Input
"""Navigate to the 'Contact Us' page""",Navigation
"""Click on the 'Reviews' tab""",Click
"""Find the 'Search' bar and click on it""",Click
"""Read the 'Terms and Conditions' page""",Read
"""Submit a 'Contact Us' form""",Submit
"""Set the theme to dark mode""",Settings
"""Show the price of 'Product XYZ'""",Query
"""Translate the content to German""",Settings
"""Open the 'Shopping Cart' page""",Navigation
"""Enter 'password123' as the password""",Input
"""Click on the 'Submit' button""",Click
"""Read the 'Privacy Policy' page""",Read
"""Complete the checkout process""",Submit
"""Decrease the font size""",Settings
"""List all available categories""",Query
"""Translate the page to Chinese""",Settings
"""Go to the 'Contact Us' section""",Navigation
"""Input 'email@example.com' as the email""",Input
"""Click on the 'Product Details' link""",Click
"""Read the reviews of 'Product ABC'""",Read
"""Submit a 'Newsletter Signup' form""",Submit
"""Set the page language to Italian""",Settings
"""Display product details for 'Item 123'""",Query
"""Navigate to the 'Help' and 'Support' page""",Navigation
"""Type '123456' as the verification code""",Input
"""Click on the 'Add to Cart' button""",Click
"""Read the 'FAQ' and 'Support' articles""",Read
"""Submit a 'Product Review' form""",Submit
"""Open the 'Services' menu""",Click
"""Find all 'Customer Reviews'""",Query
"""Navigate to 'Pricing and Plans'""",Navigation
"""Read the 'Product Description'""",Read
"""Submit the 'Feedback' form""",Submit
"""Adjust the font size to medium""",Settings
"""Show 'FAQs' related to billing""",Query
"""Translate the 'About Us' page to Spanish""",Settings
"""Go to the 'User Profile' page""",Navigation
"""Type '123-456-7890' as the phone number""",Input
"""Click on the 'Support Center' link""",Click
"""Find 'Terms of Use' in the footer""",Query
"""Read the 'Latest News' section""",Read
"""Submit a 'Review' for 'Product XYZ'""",Submit
"""Set the background color to blue""",Settings
"""Show the 'Search Results' for 'Keyword'""",Query
"""Translate the page content to French""",Settings
"""Open the 'Help Desk' page""",Navigation
"""Enter 'admin' as the username""",Input
"""Click on the 'Continue Shopping' button""",Click
"""Find 'Contact Information' for support""",Query
"""Read the 'Privacy Policy' section""",Read
"""Decrease the text size to small""",Settings
"""List all 'Upcoming Events'""",Query
"""Go to the 'Product Catalog'""",Navigation
"""Type 'p@ssw0rd' as the password""",Input
"""Click on the 'Subscribe' button""",Click
"""Find 'User Reviews' for 'Product ABC'""",Query
"""Read the 'News and Updates' page""",Read
"""Set the 'Day/Night Mode' to dark""",Settings
"""Show the 'Top Stories' section""",Query
"""Open the 'Contact Us' form""",Navigation
"""Input 'contact@example.com' as the email""",Input
"""Click on the 'Search' icon""",Click
"""Read the 'Product Reviews' for 'Item 123""",Read
"""Submit a 'Report a Bug' form""",Submit
"""Open the 'Contact Us' page""",Navigation
"""Find 'Product XYZ' details""",Query
"""Go to the 'Blog' section""",Navigation
"""Read the 'Terms and Conditions'""",Read
"""Submit a 'Support Request' form""",Submit
"""Set the 'Theme' to light mode""",Settings
"""Show 'Customer Testimonials'""",Query
"""Translate the content to Spanish""",Settings
"""Open the 'Cart' page""",Navigation
"""Enter 'john.doe@email.com' as the email""",Input
"""Click on the 'Search' button""",Click
"""Read the 'FAQs' about shipping""",Query
"""Submit a 'Product Rating' form""",Submit
"""Adjust the font size to large""",Settings
"""Display 'New Arrivals' in the results""",Query
"""Translate the page to German""",Settings
"""Navigate to 'Help and Support'""",Navigation
"""Type 'password123' as the password""",Input
"""Click on the 'Close' button""",Click
"""Read the 'Privacy Statement'""",Read
"""Set the 'Background Color' to green""",Settings
"""Show the 'Search Results' for 'Query'""",Query
"""Translate the content to French""",Settings
"""Open the 'Help Center' page""",Navigation
"""Click on the 'Load More' button""",Click
"""Read 'User Reviews' for 'Product ABC'""",Query
"""Submit a 'Feedback Form'""",Submit
"""Change the text color to red""",Settings
"""List all 'Categories and Products'""",Query
"""Translate the page content to Italian""",Settings
"""Go to the 'Support Chat'""",Navigation
"""Type 'username123' as the username""",Input
"""Click on the 'Add Comment' button""",Click
"""Read the 'News and Updates'""",Read
"""Submit a 'Contact Request' form""",Submit
"""Set the 'Brightness' to 70%""",Settings
"""Show the 'Product Recommendations'""",Query
"""Translate the content to Portuguese""",Settings
"""Navigate to 'About the Company'""",Navigation
"""Enter 'p@ssw0rd' as the password""",Input
"""Click on the 'Subscribe Now' button""",Click
"""Find 'Reviews' for 'Item 123'""",Query
"""Read the 'FAQ' section""",Read
"""Submit a 'Bug Report' form""",Submit
"""Find answers to common questions""",Query
"""Ask for the top news headlines""",Query
"""Search for 'How to bake a cake?'""",Query
"""Get information about 'World War II'""",Query
"""Find out the weather forecast""",Query
"""Ask for the latest stock market updates""",Query
"""Search for 'Healthy eating tips'""",Query
"""Find out 'Who is the current president?'""",Query
"""Ask 'What's the capital of France?'""",Query
"""Search for 'How to grow tomatoes?'""",Query
"""Find information about 'Albert Einstein'""",Query
"""Ask for the definition of 'Photosynthesis'""",Query
"""Search for 'Best vacation destinations'""",Query
"""Get details about 'The Great Wall of China'""",Query
"""Ask 'Who won the World Series in 2022?'""",Query
"""Find the meaning of 'Artificial Intelligence'""",Query
"""Ask for the recipe of 'Pasta Carbonara'""",Query
"""Search for 'How to tie a tie?'""",Query
"""Get information about 'Marie Curie'""",Query
"""Ask 'What is the square root of 144?'""",Query
"""Search for 'Effective time management tips'""",Query
"""Find out 'When was the Eiffel Tower built?'""",Query
"""Ask for the list of 'Oscar-winning movies'""",Query
"""Search for 'How to meditate effectively?'""",Query
"""Get details about 'The Theory of Relativity'""",Query
"""Ask 'Who wrote the play 'Hamlet'?""",Query
"""Find the origin of the phrase 'Bite the bullet'""",Query
"""Ask for the current time in 'New York City'""",Query
"""Search for 'How to make a paper airplane?'""",Query
"""Ask for 'How do I cook spaghetti?'""",Query
"""Search for 'Best travel destinations in 2023'""",Query
"""Get information about 'Leonardo da Vinci'""",Query
"""Find out 'What's the capital of Japan?'""",Query
"""Ask 'How does photosynthesis work?'""",Query
"""Search for 'Healthy breakfast recipes'""",Query
"""Find information about 'Marie Antoinette'""",Query
"""Ask 'What's the tallest mountain in the world?'""",Query
"""Search for 'How to plant a garden?'""",Query
"""Get details about 'The Declaration of Independence'""",Query
"""Ask for the definition of 'Quantum Mechanics'""",Query
"""Search for 'Tips for a successful job interview'""",Query
"""Find out 'When was the first computer invented?'""",Query
"""Ask 'Who is the author of 'Romeo and Juliet'?""",Query
